姓名,主要工作经历
李 良,"2015 年12 月至今任兴隆县瑞良门窗生产安装有限公司执行董事；2017 年4 月至今任三河金鼎典当有限责任公司董事长；2017 年4 月至
今任三河市和鑫汽车销售有限公司执行董事；2017 年5 月至今任大厂万福盛商贸有限公司执行董事；2017 年6 月至今任廊坊鼎润投资股
份有限公司董事长；2018 年8 月至今任大厂回族自治县润景园林绿化工程有限公司执行董事。2019 年5 月17 日至今担任本公司董事，
2021 年3 月24 日至今担任本公司董事长、总经理。"
吴学成,"2012 年8 月至2015 年12 月任三河灵山宝塔陵园有限公司北京办事处主任兼销售总经理；2016 年1 月至2020 年12 月任三河灵山宝塔陵
园有限公司销售总监；2021 年1 月至今任三河灵山宝塔陵园有限公司总经理。"
蔡 琦,"2017 年12 月至2018 年4 月任三河燕山福成娱乐有限公司主管会计；2018 年5 月至2018 年12 月任福成国际大酒店有限公司审核会计；
2019 年1 月至2023 年2 月任福成投资集团有限公司资金经理；2023 年3 月至今任本公司资金总监。"
郑建军（离任）,2017 年至今任三河市大有会计服务有限公司执行董事；2019 年9 月至今任三河市建辰税务师事务所有限公司执行董事。
韩晶华（离任）,2016 年3 月至今任河北京拓律师事务所主任。
刘建玲,1984 年7 月至今在河北农业大学教学。
陆宇建,2004 年12 月至今在南开大学商学院会计系从事教学与科研工作。
康金龙,2010 年11 月至今任河北王洪波律师事务所专职律师。
李洪志,2007 年至今任河北福成五丰食品股份有限公司燕郊乳制品分公司厂长。
甄兰兰,"2017 年8 月至2019 年12 月任福成投资集团有限公司主管会计；2020 年1 月至2022 年4 月任福成投资集团有限公司财务经理；2022 年
5 月至今任公司财务总监。"
李 伟,"2010 年1 月起，曾任易华录（300212）证券部经理，朗姿股份（002612）证券代表、高级经理，齐星铁塔（002359）董事、副总经理、董
事会秘书，上海趣致网络科技股份有限公司董事会秘书、财务总监；曾兼任青岛丰信企业管理合伙企业（有限合伙）合伙人、金一文化
（002721）和华安鑫创（300928）独立董事。2019 年10 月至今，任公司董事会秘书。"
